Title,Price,Manufacturer,Category,Fuel Type,Fiscal Horsepower,Transmission,Mileage,Year,Insertion Date
KIA Rio 5p,62900,KIA,Citadine,Essence,5,Manuelle,31000,10.2021,26.02.2024
Volkswagen Amarok AWD,87000,Volkswagen,SUV/4x4,Diesel,7,Manuelle,180000,07.2016,26.02.2024
Peugeot RCZ,40000,Peugeot,Citadine,Essence,7,Manuelle,171000,04.2011,26.02.2024
Renault Clio,26000,Renault,Citadine,Diesel,5,Manuelle,167000,08.2010,26.02.2024
Ssangyong Tivoli,68000,Ssangyong,SUV/4x4,Essence,7,Manuelle,115000,03.2020,26.02.2024
Seat Leon,53500,Seat,Citadine,Essence,5,Manuelle,152000,05.2016,26.02.2024
Volkswagen Golf 7 R Line,83000,Volkswagen,Compacte,Essence,6,Manuelle,40000,09.2017,16.02.2024
Volkswagen Golf 7 Highline bva,86000,Volkswagen,Citadine,Diesel,6,Automatique,158000,10.2019,26.02.2024
KIA Sportage,120000,KIA,Citadine,Diesel,10,Automatique,132000,01.2018,26.02.2024
Mercedes-Benz Classe E,68000,Mercedes,Berline,Diesel,10,Automatique,189000,12.2010,26.02.2024
KIA Rio 5p,55000,KIA,Citadine,Essence,5,Manuelle,77000,07.2020,26.02.2024
Land Rover Range Rover Evoque R dynamic SE,358000,Land Rover,SUV/4x4,Diesel,9,Automatique,0,02.2024,26.02.2024
Volkswagen Golf 8 6,95000,Volkswagen,Compacte,Essence,6,Manuelle,38000,09.2021,26.02.2024
Isuzu D-Max Double Cabine,128000,Isuzu,Pick up,Diesel,8,Manuelle,119000,06.2017,26.02.2024
Skoda Octavia,52000,Skoda,Berline,Essence,7,Automatique,157000,01.2016,26.02.2024
BMW Série 3,80000,BMW,Berline,Essence,7,Automatique,167000,01.2016,26.02.2024
Seat Leon 1.2,51500,Seat,Coupé,Essence,6,Manuelle,111000,12.2018,16.02.2024
Land Rover Range Rover Sport HSE DYNAMIC,748000,Land Rover,SUV/4x4,Hybride rechargeable essence,28,Automatique,0,02.2024,26.02.2024
Mercedes-Benz Classe A Kit AMG,78000,Mercedes,Citadine,Essence,6,Automatique,72000,07.2013,26.02.2024
Porsche Cayenne V6,78000,Porsche,SUV/4x4,Essence,21,Automatique,160000,06.2007,16.02.2024
Volkswagen Golf 8,125000,Volkswagen,Citadine,Hybride essence,8,Automatique,28000,07.2020,26.02.2024
Seat Leon,49000,Seat,Citadine,Essence,6,Manuelle,187000,05.2016,26.02.2024
Volkswagen Passat,68000,Volkswagen,Berline,Essence,7,Manuelle,155000,01.2019,26.02.2024
Audi Q2,82000,Audi,SUV/4x4,Essence,6,Automatique,76000,08.2018,26.02.2024
Land Rover Range Rover Evoque,155000,Land Rover,SUV/4x4,Essence,15,Automatique,104000,06.2016,26.02.2024
KIA Picanto,33000,KIA,Citadine,Essence,5,Automatique,159000,10.2014,26.02.2024
BMW Série 7,100000,BMW,Citadine,Essence,30,Automatique,140000,01.2010,26.02.2024
Land Rover Range Rover Sport HSE    TU 239,238000,Land Rover,SUV/4x4,Essence,24,Automatique,90000,05.2014,26.02.2024
BMW Série 4 Gran Coupé 418i KIT M GRAN COUPÉ,152000,BMW,Berline,Essence,7,Automatique,90000,06.2019,26.02.2024
Mahindra KUV 100,40900,Mahindra,SUV/4x4,Essence,5,Manuelle,1000,12.2023,26.02.2024
Ford Ecosport très propre,63000,Ford,SUV/4x4,Essence,7,Automatique,87000,01.2019,26.02.2024
Mercedes-Benz Classe C,118000,Mercedes,Berline,Essence,8,Automatique,133000,05.2016,26.02.2024
Mercedes-Benz GLC,210000,Mercedes,SUV/4x4,Essence,12,Automatique,83000,04.2016,26.02.2024
Alfa Romeo Giulietta,75000,Alfa Romeo,Compacte,Essence,7,Manuelle,30000,05.2019,26.02.2024
Porsche Cayenne Coupé,435000,Porsche,SUV/4x4,Essence,25,Automatique,56000,06.2019,26.02.2024
BMW Série 5,168000,BMW,Berline,Essence,10,Automatique,59000,12.2017,26.02.2024
KIA Sportage,98000,KIA,SUV/4x4,Essence,8,Automatique,98000,09.2019,26.02.2024
Volkswagen Tiguan Connect,105000,Volkswagen,SUV/4x4,Essence,9,Manuelle,121000,08.2019,16.02.2024
BMW Série 2 Active Tourer,75000,BMW,Autres,Essence,7,Automatique,114000,09.2016,26.02.2024
Mercedes-Benz Classe C kit AMG,185000,Mercedes,Berline,Hybride essence,11,Automatique,36000,12.2018,26.02.2024
Opel Antara,52000,Opel,SUV/4x4,Essence,10,Manuelle,86000,03.2010,26.02.2024
Mazda 3,79000,Mazda,Coupé,Essence,6,Automatique,64000,07.2020,26.02.2024
Land Rover Range Rover Evoque,170000,Land Rover,SUV/4x4,Diesel,8,Automatique,34000,04.2018,26.02.2024
Hyundai Grand i10 High Grade,49500,Hyundai,Citadine,Essence,5,Manuelle,13400,11.2021,26.02.2024
Hyundai Accent,30000,Hyundai,Berline,Essence,6,Manuelle,229000,12.2012,26.02.2024
Volkswagen Golf 7 R-line,78000,Volkswagen,Utilitaire,Essence,5,Automatique,130000,02.2017,26.02.2024
Volkswagen Polo 7 Plus,29500,Volkswagen,Citadine,Essence,4,Manuelle,207000,10.2014,26.02.2024
Honda City,46000,Honda,Berline,Essence,7,Automatique,110000,03.2017,26.02.2024
Porsche Cayenne,155000,Porsche,SUV/4x4,Diesel,15,Automatique,120000,03.2012,26.02.2024
Ford Kuga Titanium,80000,Ford,SUV/4x4,Essence,8,Manuelle,97000,06.2019,16.02.2024
Haval H6 Luxury 1.5T,117000,Haval,SUV/4x4,Essence,8,Automatique,17000,04.2022,26.02.2024
Mercedes-Benz CLA,155000,Mercedes,Autres,Diesel,6,Automatique,60000,03.2020,26.02.2024
Volkswagen Golf 8 Style,128000,Volkswagen,Berline,Hybride essence,8,Automatique,75000,01.2021,15.02.2024
BMW Série 5,178000,BMW,Berline,Essence,10,Automatique,75000,03.2020,26.02.2024
Peugeot Boxer,19800,Peugeot,Utilitaire,Diesel,7,Manuelle,200100,06.2007,26.02.2024
Jaguar E-Pace R-DYNAMIC S,290000,Jaguar,SUV/4x4,Essence,12,Automatique,37000,02.2021,26.02.2024
Mahindra KUV 100,32000,Mahindra,SUV/4x4,Essence,5,Manuelle,54000,04.2019,26.02.2024
Mercedes-Benz Classe C AMG,107000,Mercedes,Berline,Essence,8,Automatique,157000,05.2014,26.02.2024
KIA Rio 5p GX,59500,KIA,Compacte,Essence,5,Manuelle,12000,08.2022,26.02.2024
KIA Sportage Comfort BVA,83000,KIA,SUV/4x4,Essence,8,Automatique,130000,06.2018,26.02.2024
Mercedes-Benz Classe S,129000,Mercedes,Berline,Essence,30,Automatique,99000,08.2009,26.02.2024
Mini Countryman,59000,Mini,Citadine,Essence,6,Manuelle,120000,02.2015,26.02.2024
Alfa Romeo Mito,28500,Alfa Romeo,Citadine,Diesel,5,Manuelle,213000,08.2010,26.02.2024
Porsche Cayenne,78000,Porsche,SUV/4x4,Essence,21,Automatique,224000,04.2008,26.02.2024
Mahindra KUV 100 K8,34800,Mahindra,Coupé,Essence,5,Manuelle,21000,01.2020,26.02.2024
KIA Picanto,42000,KIA,Citadine,Essence,5,Manuelle,91000,12.2021,26.02.2024
Mercedes-Benz Classe E business,142000,Mercedes,Berline,Essence,9,Automatique,130000,02.2018,26.02.2024
Nissan Juke,42500,Nissan,SUV/4x4,Essence,6,Manuelle,105000,04.2012,26.02.2024
Ssangyong Rexton,38000,Ssangyong,SUV/4x4,Diesel,11,Manuelle,210000,01.2009,26.02.2024
Ford Ecosport,62900,Ford,SUV/4x4,Essence,7,Automatique,92000,08.2019,26.02.2024
Peugeot 508,34900,Peugeot,Berline,Diesel,6,Automatique,234000,03.2011,26.02.2024
Land Rover Discovery LR3 HSE,69000,Land Rover,SUV/4x4,Essence,23,Automatique,185000,08.2007,26.02.2024
Hyundai Veloster,44900,Hyundai,Citadine,Essence,8,Automatique,140000,08.2016,26.02.2024
KIA Sportage,79900,KIA,Citadine,Essence,8,Automatique,117000,04.2018,26.02.2024
BMW X3,75000,BMW,SUV/4x4,Essence,11,Automatique,215000,06.2014,26.02.2024
Fiat Fiorino utilitaire,36000,Fiat,Utilitaire,Diesel,5,Manuelle,101000,02.2021,26.02.2024
Volkswagen Amarok,55000,Volkswagen,Pick up,Diesel,7,Manuelle,264000,10.2012,26.02.2024
Volkswagen Golf 7 smart line,67000,Smart,Coupé,Essence,6,Automatique,95000,09.2018,26.02.2024
Volkswagen Golf 8 1er Édition,123000,Volkswagen,Compacte,Essence,8,Manuelle,70000,08.2020,26.02.2024
Skoda Octavia comfort line,67000,Skoda,Citadine,Essence,8,Automatique,103000,08.2018,26.02.2024
Ford Kuga,120000,Ford,Citadine,Essence,11,Automatique,30000,11.2022,26.02.2024
Mercedes-Benz Classe C KIT AMG,66000,Mercedes,Berline,Essence,9,Automatique,226000,06.2011,26.02.2024
Isuzu NKR 66 Simple Cabine,52000,Isuzu,Autres,Diesel,17,Manuelle,298000,07.2004,26.02.2024
KIA Sorento BVA,67000,KIA,SUV/4x4,Diesel,12,Automatique,230000,10.2013,26.02.2024
Volkswagen Passat,35000,Volkswagen,Berline,Diesel,6,Manuelle,437000,01.2008,26.02.2024
Suzuki Dzire comfort,38500,Suzuki,Berline,Essence,5,Manuelle,104000,01.2021,26.02.2024
Citroën DS 7 Performance Line,119000,Citroën,SUV/4x4,Essence,10,Automatique,117000,05.2019,26.02.2024
Volkswagen Golf 7,67500,Volkswagen,Compacte,Essence,5,Manuelle,76000,11.2016,26.02.2024
Haval H6,85000,Haval,Citadine,Essence,9,Automatique,55000,08.2019,26.02.2024
Mercedes-Benz CLS DESIGNO,63500,Mercedes,Berline,Essence,15,Automatique,160000,03.2009,26.02.2024
Mercedes-Benz Classe C,82000,Mercedes,Citadine,Essence,19,Automatique,213000,12.2012,26.02.2024
KIA Sportage,93000,KIA,SUV/4x4,Essence,8,Automatique,80000,01.2020,26.02.2024
Chery Tiggo 8,92000,Chery,Citadine,Essence,9,Automatique,74000,12.2021,26.02.2024
Peugeot 308,47000,Peugeot,Citadine,Essence,5,Manuelle,158000,01.2019,26.02.2024
Seat Leon Style,57000,Seat,Citadine,Essence,5,Manuelle,98000,02.2018,26.02.2024
Ford Transit,38000,Ford,Utilitaire,Diesel,6,Manuelle,256000,09.2017,26.02.2024
BMW Série 5,77000,BMW,Berline,Essence,10,Automatique,197000,12.2012,26.02.2024
BMW Série 4 Gran Coupé,115000,BMW,Berline,Essence,7,Automatique,51000,05.2019,26.02.2024
Dongfeng S50,67660,Dongfeng,Berline,Essence,7,Automatique,65000,07.2021,26.02.2024
Hyundai Grand i10,53000,Hyundai,Citadine,Essence,5,Automatique,54000,04.2021,26.02.2024
Renault Clio Boite Auto,50500,Renault,Citadine,Essence,6,Automatique,98000,03.2019,26.02.2024
Ford Kuga,68000,Ford,Citadine,Essence,11,Automatique,188000,07.2017,26.02.2024
Citroën C4 Cactus,36500,Citroën,Citadine,Essence,5,Manuelle,169000,05.2015,26.02.2024
ZXAUTO Grand Tiger Double Cabine Premiere main,43500,Other,SUV/4x4,Diesel,9,Manuelle,240000,09.2019,26.02.2024
Toyota RAV 4 Premiere main,98000,Toyota,SUV/4x4,Essence,9,Automatique,128000,02.2019,26.02.2024
Peugeot 3008 Gtline,79000,Peugeot,SUV/4x4,Essence,6,Automatique,148000,10.2019,26.02.2024
Mercedes-Benz Classe C 180 Pack AMG,208000,Mercedes,Berline,Hybride essence,9,Automatique,40000,02.2022,26.02.2024
Mercedes-Benz GLA Pack AMG,185000,Mercedes,SUV/4x4,Essence,8,Automatique,25000,09.2021,26.02.2024
Haval Jolion,87000,Haval,SUV/4x4,Essence,9,Automatique,40000,07.2022,26.02.2024
Chery Tiggo 2,43500,Chery,SUV/4x4,Essence,6,Manuelle,60000,01.2020,26.02.2024
Mercedes-Benz CLA Pack AMG,169000,Mercedes,Citadine,Essence,7,Automatique,20000,10.2020,26.02.2024
Mercedes-Benz CLA AMG,169000,Mercedes,Berline,Essence,8,Automatique,89000,01.2021,26.02.2024
BMW Série 3 318i,88000,BMW,Berline,Essence,7,Automatique,117000,08.2017,26.02.2024
Peugeot Partner,48000,Peugeot,Utilitaire,Diesel,5,Manuelle,99000,12.2020,26.02.2024
Great Wall Poer,97000,Great Wall,Pick up,Diesel,11,Manuelle,9000,07.2022,26.02.2024
Volkswagen Golf 7 R_line,80000,Volkswagen,Citadine,Essence,6,Manuelle,130000,09.2018,26.02.2024
Volkswagen Polo,31500,Volkswagen,Citadine,Essence,5,Manuelle,215000,02.2011,26.02.2024
BMW Série 5,118000,BMW,Berline,Essence,9,Automatique,120000,04.2016,26.02.2024
Ssangyong Actyon Sports 4*4,40000,Ssangyong,SUV/4x4,Diesel,7,Automatique,200000,07.2017,26.02.2024
Audi A5 Cabriolet,87000,Audi,Cabriolet,Essence,11,Automatique,130000,01.2014,26.02.2024
Mercedes-Benz GLC Coupé kit AMG,280000,Mercedes,SUV/4x4,Hybride rechargeable essence,10,Automatique,65000,11.2020,26.02.2024
Seat Ibiza FR 1.6,68000,Seat,Citadine,Essence,6,Automatique,100000,09.2020,26.02.2024
BMW Série 1,47000,BMW,Citadine,Essence,7,Manuelle,226000,05.2012,26.02.2024
Toyota Prado,62000,Toyota,SUV/4x4,Diesel,12,Manuelle,370000,05.2002,26.02.2024
Mazda 6,51000,Mazda,Berline,Essence,9,Automatique,125000,11.2014,26.02.2024
KIA Sorento,88000,KIA,Citadine,Diesel,12,Automatique,129000,06.2015,26.02.2024
Volkswagen Golf 7 Rline 1.4,105000,Volkswagen,Compacte,Essence,7,Manuelle,90000,03.2019,26.02.2024
Volkswagen Tiguan,52000,Volkswagen,SUV/4x4,Essence,12,Automatique,175000,01.2013,26.02.2024
Mercedes-Benz Classe A Berline 180,118000,Mercedes,Berline,Diesel,6,Automatique,120000,02.2020,26.02.2024
Audi A3 Sportback 1.5,145000,Audi,Berline,Hybride essence,8,Automatique,900,11.2023,26.02.2024
Volkswagen Golf 8 Style 1.5,133000,Volkswagen,Compacte,Hybride essence,8,Automatique,8000,12.2022,26.02.2024
BMW Série 3 Kit m,215000,BMW,Berline,Essence,10,Automatique,4000,06.2023,26.02.2024
DS 7 Crossback Performance line,210000,DS,SUV/4x4,Hybride rechargeable essence,10,Automatique,1000,12.2023,26.02.2024
Land Rover Range Rover Sport HSE p400e,385000,Land Rover,SUV/4x4,Hybride rechargeable essence,17,Automatique,40000,01.2020,26.02.2024
Land Rover Range Rover Evoque Se p300e,285000,Land Rover,SUV/4x4,Hybride essence,9,Automatique,6000,01.2023,26.02.2024
Mercedes-Benz Classe E 300DE AMG-designo,285000,Mercedes,Berline,Hybride rechargeable diesel,10,Automatique,60000,01.2021,26.02.2024
Mahindra KUV 100,36000,Mahindra,SUV/4x4,Essence,5,Manuelle,87000,11.2020,26.02.2024
MG 6,85000,MG,Berline,Essence,9,Automatique,20000,08.2021,26.02.2024
Seat Leon,71500,Seat,Citadine,Essence,6,Manuelle,66000,08.2020,26.02.2024
Chery E3,32000,Chery,Berline,Essence,6,Manuelle,85000,12.2016,26.02.2024
Seat Ibiza,64900,Seat,Citadine,Essence,6,Manuelle,114000,07.2020,26.02.2024
Citroën C4,28900,Citroën,Citadine,Essence,6,Manuelle,189000,07.2011,26.02.2024
BMW Série 3,72900,BMW,Berline,Essence,10,Automatique,170000,07.2013,26.02.2024
Hyundai Grand i10,46900,Hyundai,Citadine,Essence,5,Manuelle,69000,06.2021,26.02.2024
Land Rover Range Rover Velar,350000,Land Rover,SUV/4x4,Diesel,11,Automatique,56000,12.2019,26.02.2024
Audi A4,50000,Audi,Berline,Essence,7,Manuelle,175000,09.2014,26.02.2024
Skoda Octavia,67000,Skoda,Berline,Essence,8,Automatique,103000,08.2018,26.02.2024
Nissan Juke,55000,Nissan,SUV/4x4,Essence,6,Manuelle,134000,11.2015,26.02.2024
Land Rover Range Rover Sport,88000,Land Rover,SUV/4x4,Diesel,13,Automatique,196000,02.2008,26.02.2024
Mercedes-Benz Classe E,55000,Mercedes,Berline,Diesel,9,Automatique,175000,04.2011,26.02.2024
MG 5,53000,MG,Berline,Essence,6,Manuelle,23000,10.2021,26.02.2024
Porsche Cayenne,55000,Porsche,SUV/4x4,Essence,27,Automatique,234000,08.2003,26.02.2024
Volkswagen Scirocco,35000,Volkswagen,Monospace,Essence,9,Automatique,188000,09.2009,26.02.2024
Citroën C3,51000,Citroën,Citadine,Essence,5,Manuelle,26000,12.2020,26.02.2024
Mini Countryman S HYBRID 4*4,158000,Mini,SUV/4x4,Hybride rechargeable essence,5,Automatique,35000,10.2019,26.02.2024
Peugeot 3008,105000,Peugeot,Autres,Essence,7,Automatique,40000,06.2020,26.02.2024
Mercedes-Benz Classe E,90000,Mercedes,Berline,Essence,9,Automatique,140000,06.2014,26.02.2024
Land Rover Discovery Sport,155000,Land Rover,SUV/4x4,Diesel,9,Automatique,117000,07.2016,26.02.2024
Volkswagen Golf 8,102500,Volkswagen,Citadine,Essence,6,Manuelle,25000,12.2020,26.02.2024
Seat Ibiza,49900,Seat,Citadine,Essence,4,Manuelle,92000,08.2021,26.02.2024
Peugeot 3008,79000,Peugeot,SUV/4x4,Essence,7,Automatique,100000,05.2019,26.02.2024
BAIC YX Kenbo S2,36000,BAIC,SUV/4x4,Essence,7,Manuelle,93000,04.2018,26.02.2024
Mercedes-Benz Classe C,49900,Mercedes,Berline,Diesel,10,Manuelle,199000,10.2010,26.02.2024
Volkswagen Golf 7,55000,Volkswagen,Citadine,Essence,5,Manuelle,182000,07.2014,26.02.2024
Fiat 500,32500,Fiat,Monospace,Essence,4,Manuelle,94000,03.2012,26.02.2024
Dongfeng AX4,64000,Dongfeng,SUV/4x4,Essence,7,Manuelle,31000,11.2021,26.02.2024
Peugeot 5008,95000,Peugeot,SUV/4x4,Diesel,6,Automatique,138000,11.2019,26.02.2024
Mazda CX-9,95000,Mazda,SUV/4x4,Essence,15,Automatique,159000,12.2017,26.02.2024
Seat Leon,62000,Seat,Citadine,Essence,6,Manuelle,118000,10.2017,26.02.2024
Toyota Hilux,210000,Toyota,Pick up,Diesel,8,Automatique,1000,08.2023,26.02.2024
Audi Q5 S-line,99900,Audi,SUV/4x4,Diesel,9,Automatique,165000,02.2015,20.02.2024
Volkswagen Golf 7 Citadine,65000,Volkswagen,Citadine,Essence,5,Automatique,120000,08.2017,20.02.2024
Chery Arrizo 5 Parfait Etat,37000,Chery,Citadine,Essence,7,Manuelle,170000,07.2017,20.02.2024
KIA Sportage GT line,100000,KIA,SUV/4x4,Diesel,10,Automatique,128000,05.2017,20.02.2024
Renault Megane Phase 2, Moteur 1.6 16V,21500,Renault,Citadine,Essence,7,Manuelle,230000,12.2006,20.02.2024
Nissan Juke,45000,Nissan,SUV/4x4,Essence,5,Manuelle,115000,12.2016,20.02.2024
Audi Q3 S line,88000,Audi,SUV/4x4,Essence,8,Automatique,99000,01.2018,20.02.2024
Seat Leon Référence,37000,Seat,Compacte,Essence,5,Manuelle,190000,03.2014,20.02.2024
